surface_composition,facet,adsorbate,reaction_energy_eV
IrO2-rutile,100,OOH*,2.793070259999979
IrO2-rutile,110,OOH*,3.0037249399999837
subbridge--subsurface-Cr-doped-IrO2-rutile,110,OOH*,2.871901379999997
subcus--subsurface-Cr-doped-IrO2-rutile,110,OOH*,2.9950574499999902
surface-Cr-doped-IrO2-rutile,100,OOH*,3.887111080000011
surface-Cr-doped-IrO2-rutile,100,OOH*,3.0695296499999927
surface-Cr-doped-IrO2-rutile,100,OOH*,2.766562659999977
surface-Cr-doped-IrO2-rutile,110,OOH*,3.8246974599999817
surface-Cr-doped-IrO2-rutile,110,OOH*,3.021653409999942
IrO2-columbite-exp-strain,100,OOH*,2.9512001600000133
IrO2-columbite,100,OOH*,3.0673111800000186
IrO2-columbite,100,OOH*,3.0092138300000215
IrO2-columbite,101,OOH*,3.9255385999999817
IrO2-columbite,101,OOH*,3.0660820399999693
IrO2-columbite,101,OOH*,2.8957712700000116
IrO2-rutile-O-cov,100,OOH*,2.793070259999979
IrO2-rutile-O-cov,110,OOH*,3.0037249399999837
IrO2-rutile-OH-cov,100,OOH*,2.3617700699999773
IrO2-rutile-OH-cov,110,OOH*,2.1328585499999804
IrO3-alpha-O-cov,100,OOH*,4.190966989999993
IrO3-alpha-O-cov,110,OOH*,3.5820679599999607
IrO3-alpha-O-cov,111,OOH*,4.177191330000028
IrO3-alpha-O-cov,211,OOH*,4.122025399999984
IrO3-alpha-OH-cov,100,OOH*,4.253580230000011
IrO3-alpha-OH-cov,110,OOH*,3.7860831499999676
IrO3-beta-O-cov-A,010,OOH*,4.382854070000008
IrO3-beta-O-cov-B,010,OOH*,4.519122899999957
IrO3-rutile-O-cov-full,100,OOH*,4.381246840000017
IrO3-rutile-O-cov-full,110,OOH*,3.707764579999946
IrO3-rutile-O-cov-partial,100,OOH*,4.2751225600001135
IrO3-rutile-OH-cov,100,OOH*,4.43052914000009
Nd4Ru8O29,111,OOH*,3.9512198449999687
Gd7Ru8O31,111,OOH*,3.423374845000012
RuO3,111,OOH*,4.345631615000002
Bi2Ru2O7,111,OOH*,3.2240863449999893
Nd7Ru8O31,111,OOH*,3.380605375000016
Bi7Ru8O31,111,OOH*,3.44922734499994
Gd2Ru2O7,111,OOH*,3.2342228450000334
Y4Ru8O29,111,OOH*,4.2290916450000395
Gd4Ru8O29,111,OOH*,4.091975624999975
Y2Ru2O7,111,OOH*,3.2830686550000223
Bi4Ru8O29,111,OOH*,4.003591744999994
Nd2Ru2O7,111,OOH*,3.3060786550000216
Y7Ru8O31,111,OOH*,3.4110727250000537
Ni-HAB,001,OOH*,4.452591112458322
Ni-HAB,001,OOH*,3.7340438093779085
Cu-HAB,001,OOH*,4.212234785078181
IrO2-Anatase-SrIrO3,2ML,OOH*,3.19007053483
IrO2-Anatase,001,OOH*,3.1563344719
NiCo-MOF,100,OOH*,4.772535159999734
NiCo-MOF,100,OOH*,3.603048559999934
CuNi-MOF,100,OOH*,4.46554674999993
CuNi-MOF,100,OOH*,4.445927279999978
NiCu-MOF,100,OOH*,4.555045889999974
NiCu-MOF,100,OOH*,4.2248701099999835
CoCo-MOF,100,OOH*,4.073052409999946
CoCo-MOF,100,OOH*,3.8621766200001275
CuCo-MOF,100,OOH*,4.452313770000046
