material,band_gap_eV,gap_source,class,n_papers,median_rate,p25,p75
g-C3N4,2.7,curated,carbon_nitride,807,227.2,60.0,1596.0
TiO2,3.2,curated,oxide,556,588.2,90.8,3092.5
CdS,2.4,curated,sulfide,521,1633.9,350.0,8470.0
MoS2,1.8,curated,sulfide,134,1640.0,273.5,5177.8
Zn0.5Cd0.5S,2.4,curated,sulfide,100,4341.6,2154.0,14745.0
ZnIn2S4,2.3,curated,sulfide,96,1312.7,619.8,4355.8
ZnO,3.3,curated,oxide,74,358.2,94.8,1984.2
ZnS,3.6,curated,sulfide,55,502.6,114.0,1637.4
SrTiO3,3.2,curated,perovskite,37,489.0,238.1,2492.5
NiO,4.0,curated,oxide,27,937.0,192.5,3746.5
Ta2O5,4.2,curated,oxide,26,57.0,15.0,335.9
CuS,1.5,curated,sulfide,19,1073.0,453.0,3870.0
NiS,0.5,curated,sulfide,19,1419.0,464.9,8289.5
CuO,1.7,curated,oxide,16,4750.0,983.2,18675.0
CeO2,3.41,curated,oxide,13,342.1,42.9,1466.2
CdSe,1.74,curated,selenide,12,1576.5,783.2,7882.5
Cu2O,2.0,curated,oxide,12,242.0,95.0,916.8
WS2,1.35,curated,sulfide,12,101.2,55.4,165.3
Bi2S3,1.3,curated,sulfide,10,3205.9,2405.0,5909.1
In2S3,2.0,curated,sulfide,10,170.0,43.1,522.5
NaTaO3,4.0,curated,perovskite,10,28.9,6.2,675.5
CTF,2.7,curated,framework,9,614.6,45.0,10000.0
WO3,2.7,curated,oxide,9,94.2,46.6,132.0
ZnFe2O4,1.9,curated,oxide,9,280.0,142.2,2440.0
Ag2S,1.23,curated,sulfide,8,668.0,391.5,1557.9
CdLa2S4,2.5,curated,sulfide,8,1800.0,824.0,2500.0
Co3O4,2.07,curated,oxide,8,205.0,36.8,1016.5
In2O3,2.9,curated,oxide,7,920.0,361.0,1605.5
In2Se3,1.2,curated,selenide,7,91.5,39.4,4445.0
Nb2O5,3.08,curated,oxide,7,245.0,23.0,301.4
NiFe2O4,1.7,curated,oxide,7,56.0,52.0,165.5
SiC,2.4,curated,other,7,69.0,44.3,104.3
InVO4,1.9,curated,oxide,6,12.0,9.2,143.0
KNbO3,3.1,curated,perovskite,6,357.1,219.6,624.9
Sn3O4,2.7,curated,oxide,6,25.5,8.9,3008.0
SnO2,3.6,curated,oxide,6,149.8,41.3,1104.3
CuFe2O4,1.42,curated,oxide,5,1720.0,900.0,1720.0
Fe2O3,2.1,curated,oxide,5,350.0,37.1,392.0
K2La2Ti3O10,3.05,curated,layered,5,96.0,55.5,126.6
MAPbI3,1.55,curated,halide_perovskite,5,584.0,37.0,1471.0
NaNbO3,3.4,curated,perovskite,5,241.0,241.0,302.1
Ti3C2,0.0,curated,mxene,5,326.6,204.0,330.0
ZnGa2O4,4.4,curated,oxide,5,39.0,38.9,142.0
BaTiO3,3.2,curated,perovskite,4,71.4,42.6,108.2
BiPO4,3.85,curated,oxide,4,304.5,227.6,507.0
CaTiO3,3.5,curated,perovskite,4,194.2,101.8,508.1
LaFeO3,2.1,curated,perovskite,4,628.0,109.2,1665.8
Ta3N5,2.1,curated,nitride,4,11.4,0.4,36.2
Ag3PO4,2.45,curated,oxide,3,3920.4,2022.8,5260.2
CdO,2.3,curated,oxide,3,146.2,146.1,193.7
CdSe/CdS,2.0,curated,selenide,3,13500.0,6875.8,56750.0
Ga2O3,4.4,curated,oxide,3,320.6,258.8,597.8
KTaO3,3.6,curated,perovskite,3,3.6,2.8,4.3
La2Ti2O7,3.8,curated,layered,3,68.1,39.4,214.2
LaCoO3,2.0,curated,perovskite,3,28.0,27.5,94.0
MoO3,3.54,curated,oxide,3,201.4,101.4,615.6
SnS,1.3,curated,sulfide,3,650.0,382.8,3229.0
SnS2,2.2,curated,sulfide,3,6305.2,3167.6,20977.6
ZnWO4,3.9,curated,oxide,3,58.0,49.5,544.0
ZrO2,4.99,curated,oxide,3,3550.0,2775.0,5496.0
