material,bandgap_eV,bandgap_known,sacrificial_agent,scavenger_strength,has_cocatalyst,wavelength_nm,light_power_W,irradiation_time_h,activity_value,logH2,source_paper
PCNT-3-5,2.7,False,TEOA,3,True,420.0,300.0,5.0,3600.5,3.55636281525692,j.apcatb.2019.118077
g-C3N4,2.7,True,none/unspecified,0,False,420.0,300.0,8.0,22650.0,4.355068206348851,j.jcis.2021.03.124
Ag-KTaO3,2.7,False,methanol,2,False,420.0,300.0,7.0,185.6,2.268577971882843,j.apsusc.2018.02.077
Cu2ZnSnS4,2.7,False,none/unspecified,0,False,420.0,300.0,8.0,1600.0,3.2041199826559246,j.jtice.2017.04.008
ZnS,3.6,True,none/unspecified,0,False,420.0,300.0,8.0,4147.0,3.617734035364018,j.apsusc.2018.06.288
CdS,2.4,True,none/unspecified,0,True,420.0,300.0,8.0,22950.0,4.36078268987328,j.jcis.2021.03.170
CdS,2.4,True,TEOA,3,True,420.0,300.0,5.0,800.0,2.9030899869919438,j.jcis.2021.03.170
CdS,2.4,True,TEOA,3,True,420.0,300.0,5.0,7200.0,3.8573324964312685,j.jcis.2021.03.170
CdS,2.4,True,TEOA,3,True,420.0,300.0,5.0,5720.0,3.7573960287930244,j.jcis.2021.03.170
TiO2,3.2,True,methanol,2,False,420.0,300.0,100.0,4.0,0.6020599913279624,j.ijhydene.2018.04.150
TiO2,3.2,True,methanol,2,False,420.0,300.0,100.0,6.0,0.7781512503836436,j.ijhydene.2018.04.150
TiO2,3.2,True,methanol,2,False,420.0,300.0,100.0,14.0,1.146128035678238,j.ijhydene.2018.04.150
TiO2,3.2,True,methanol,2,False,420.0,300.0,100.0,19.0,1.2787536009528289,j.ijhydene.2018.04.150
CS @ Au/ZnO,2.7,False,methanol,2,False,420.0,300.0,180.0,2384.0,3.377306251068199,j.jallcom.2020.154393
Pt/TiO2-P90,2.7,False,methanol,2,True,420.0,300.0,8.0,170000.0,5.230448921378274,j.jcat.2019.05.033
