material,n,median_rate,p25,p75,bandgap_eV,bandgap_known
g-C3N4,764,427.1,109.75,1596.0,2.7,True
TiO2,556,588.25,90.75,3092.5,3.2,True
CdS,521,1633.9,350.0,8470.0,2.4,True
Pt,232,1134.35,197.0,7749.5,0.0,True
MoS2,134,1640.0,273.5,5177.75,1.8,True
ZnIn2S4,75,766.8,252.95,3653.6,2.3,True
ZnO,74,358.2,94.75,1984.25,3.3,True
Au,61,540.0,200.0,3975.0,0.0,True
ZnS,55,502.6,113.95,1637.4,3.6,True
Ag,35,732.0,252.8,2344.0,0.0,True
Cu,31,838.0,299.5,4447.5,0.0,True
ZCS,30,7133.95,2389.75,21075.0,2.7,False
Zn0.5Cd0.5S,30,2615.0,809.75,14745.0,2.7,False
BCN,30,91.8,51.325,606.6500000000001,2.7,False
reduced graphene oxide,30,2386.0,569.75,5475.0,0.0,True
graphene,30,1085.0,325.275,1868.25,0.0,True
Ni,29,2091.0,900.0,8683.0,0.0,True
Ni2P,28,650.115,272.43,6823.0,2.7,False
NiO,27,937.0,192.5,3746.5,2.7,False
Pt/CdS,26,21195.0,4877.5,43752.5,2.7,False
Ta2O5,26,57.0,15.0,335.885,2.7,False
Pt/g-C3N4,25,658.0,244.1,1208.0,2.7,False
Pt/TiO2,24,4483.5,1955.0,10710.0,2.7,False
TEOA,24,2120.0,558.7975,4040.0,2.7,False
Pd,24,3910.0,817.5,25300.0,0.0,True
SrTiO3,23,570.0,290.5,3200.0,3.2,True
ZIS,21,1858.6,986.6,5058.0,2.7,False
Cd0.5Zn0.5S,21,4341.6,2154.0,7540.0,2.7,False
Ni(OH)2,20,6122.5,1793.6675,8667.5,2.7,False
CuS,19,1073.0,453.0,3870.0,2.7,False
NiS,19,1419.0,464.85,8289.5,2.7,False
xenon,17,865.0,300.0,1920.0,2.7,False
CuO,16,4750.0,983.25,18675.0,1.7,True
MoS2/CdS,15,9100.0,1700.0,20910.0,2.7,False
MoS2/ZnIn2S4,14,2407.45,766.275,3060.0,2.7,False
lactic acid,14,177.5,145.675,7070.0,2.7,False
STO,14,407.95,185.75,1785.07,2.7,False
glucose,14,184.7,52.05,1142.65,2.7,False
PCN,13,227.23,60.0,2090.0,2.7,False
CeO2,13,342.12,42.88,1466.2,2.7,False
C,12,1020.465,71.145,6995.0,2.7,False
g-CN,12,66.5,48.525000000000006,1503.0,2.7,False
Cu2O,12,242.0,95.01,916.75,2.0,True
CZS,12,31780.0,5133.75,72982.5,2.7,False
RhB,12,380.65,65.5,830.37,2.7,False
CdSe,12,1576.5,783.25,7882.5199999999995,1.74,True
WS2,12,101.15,55.400000000000006,165.275,2.7,False
Na2SO3,11,2976.3,955.5,8265.35,2.7,False
Na2S,11,1060.0,236.5,17243.4,2.7,False
NaTaO3,10,28.95,6.175,675.5,4.0,True
CdS/MoS2,10,7223.5,2055.0,16350.0,2.7,False
Bi2S3,10,3205.8500000000004,2405.0,5909.1,1.3,True
Au/TiO2,10,748.5,389.75,5052.775,2.7,False
In2S3,10,170.0,43.1,522.5225,2.7,False
CdS/ZnS,10,172.5,102.25,289.25,2.7,False
LFO,10,432.5,111.5,844.25,2.7,False
Co,9,3350.0,197.0,7560.0,2.7,False
P25 TiO2,9,1200.0,400.0,2554.0,2.7,False
CTF,9,614.6,45.0,10000.0,2.7,False
Al,9,68.0,29.0,301.0,2.7,False
Au @ ZnO,9,584.0,454.0,709.0,2.7,False
ZnFe2O4,9,280.0,142.17,2440.0,2.7,False
copper,9,4000.0,2856.0,7880.0,2.7,False
H2,9,298.0,53.0,462.0,2.7,False
WO3,9,94.2,46.6,132.0,2.7,True
sulfur,9,511.0,323.0,1190.0,2.7,False
CdLa2S4,8,1800.0,824.0,2500.0,2.7,False
MCN,8,725.05,359.25,1066.0,2.7,False
"In2S3, 6F–In",8,413.185,395.9575,425.9275,2.7,False
Se,8,1232.0,159.4,4210.0,2.7,False
Ag2S,8,668.0,391.5,1557.905,2.7,False
CIS,8,4931.5,2265.0,6107.75,2.7,False
Hg,8,1526.3,813.95,2104.5,2.7,False
CdS/Pt,8,4018.16,333.5345,34600.0,2.7,False
Ru,8,2988.5,309.35,4565.0,0.0,True
Co3O4,8,205.0,36.8,1016.525,2.7,False
MeOH,8,2800.0,1819.25,6032.5,2.7,False
H2S,7,11541.0,4596.0,14543.0,2.7,False
ZnxCd1-xS,7,2569.0,1285.0,3628.0,2.7,False
Cu/TiO2,7,4643.4,1600.0,11750.0,2.7,False
In2O3,7,920.0,361.0,1605.509,2.9,True
OH,7,253.5,175.0,830.0,2.7,False
TCN,7,624.99,202.565,3404.5,2.7,False
isopropanol,7,182000.0,8275.0,287500.0,2.7,False
Nb2O5,7,245.0,23.0,301.4,2.7,False
SiC,7,69.0,44.3,104.35,2.7,False
nickel,7,2890.0,839.22,21665.0,2.7,False
MoS2/TiO2,7,1890.0,481.25,2072.5,2.7,False
Ti3 +,7,983.56,374.95,3068.5,2.7,False
nitrogen,7,2481.0,843.5,4515.0,2.7,False
Ce6,7,46.5,17.4,82.3,2.7,False
carbon,7,820.0,502.51,5467.5,2.7,False
Cu3P,7,855.0,580.6,5556.9,2.7,False
NiFe2O4,7,56.0,52.0,165.5,2.7,False
In2Se3,7,91.5,39.35,4445.035,2.7,False
NiS2,7,715.83,545.4549999999999,1342.0,2.7,False
formic acid,7,26700.0,838.6,47450.0,2.7,False
ZnO/Ag,6,500.0,175.0,907.5,2.7,False
Cu0.5Zn0.5In2S4,6,1061.835,32.99,2725.0,2.7,False
VB,6,59.2,25.425,131.75,2.7,False
